,Comment,Upvote,Time
187,Saya tidak pernah menghitung berapa banyak lagu ini saya putar. Masih terbaik sampai 2023.,2,hace 2 días
188,"The fact that almost people watch this already is so crazy


Proof that memories last forever..",1,hace 11 días
189,Love from india🇮🇳,3,hace 1 día
190,"cancion en español
Comentarios: en Inglés ._.",334,hace 3 años
191,Algún presente apreciando esta obra ?,3,hace 7 días
192,This legendary song ruled the world for a decade.,1,hace 7 días
193,I still love this song,1,hace 3 días (editado)
194,Esta canción nunca va a pasar de moda ,7,hace 2 días
195,its been 6 years and this song is still fire ,1,hace 3 días
196,Esta canción nunca va a pasar de moda ,16,hace 10 días
197,Masterpiece song,1,hace 8 días
198,2023 still listen as good as the first day,3,hace 7 horas
199,I cant believe it’s been 6 years. Ultimate nostalgia,,hace 4 días
200,Que buen tema,1,hace 3 días
201,may be we will hit 3 million comments this year,301,hace 4 años
202,I love this song from 🇺🇸,1,hace 9 días
203,8.230 millones de vista esta el mundo entero en una sola canción es una locura,1,hace 6 días
204,Amazing song,,hace 12 horas
205,2 years passed.... This song is still in my playlist ,2,hace 7 días
206,Who's here before six billion ,217,hace 4 años
207,"I'm indian🇮🇳🇮🇳 and very love  this song 
After listening to the song I'm very happy and the feeling is better",41,hace 11 días
208,这首歌真的百听不厌,4,hace 10 días
209,Exelente tema,,hace 2 días
210,Best song of the generation ,,hace 6 días
211,"Top song, I'll never forgetComment from Russia🇷🇺🇷🇸🇧🇾",1,hace 3 días
212,Who else came here just to see how many views this has ,404,hace 3 años
213,2023 and still listening to this masterpiece,1,hace 4 días
214,It's 2023 and im still listening to this. What a masterpiece,1,hace 7 días
215,Mi canción favorita es hermosa,,hace 16 horas
216,"I don’t understand much of the Spanish, but I still love this song.  The beat is fantastic and Fonsi  is smoking hot ",1,hace 10 días (editado)
217,8.2 billion means More than the total population of the world has watched this music video,4,hace 19 horas
218,Welcome to the most viewed video on YouTube,370,hace 4 años
219,It’s been 6 yrs and this song never gets old,4,hace 5 días
220,Even know it’s not that English I still really enjoy this song,2,hace 11 días
221,Damn man I know all the lyrics and flow after 3 yrs also,4,hace 4 días
222,不知道唱的是什麼，但是旋律太好了，語言不通也阻礙不了我非常喜歡這首歌。大概這就是歌曲的魅力吧,2,hace 10 días
223,,1,hace 3 días
224,This comment section brings the world together in a safe way,141,hace 2 años
225,04/08/2023 eu aqui de novo ️,1,hace 6 días
226,I love this song love from India ,,hace 6 días
227,"This actually deserves to be the most viewed video on YouTube, unlike SOME videos...",1,hace 2 días
228,I knew when this hit were everywhere that was just a great time,,hace 9 días
229,Gooooooood,2,hace 3 días
230,"Let's see how many people come here everday before 7,1B views.",134,hace 2 años
231,"Daddy Yankee and Luis Fonsi, this is a classic, I don't care if your Spanish is good, this is a beautiful song!",2,hace 11 días
232,"Esssa música tem cara de ser trilha sonora de velezes e furiosos...

🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",4,hace 9 días (editado)
233,"Let’s be honest, this song is still legendary...",1,hace 3 días
234,Me encanta esta cancion,14,hace 10 días
235,"6 años de este tema y sigue en top 1 del mundo... de locos.
6 years of this song and it's still in the top 1 in the world... crazy.
6 ans de cette chanson et elle est toujours dans le top 1 mondial... fou.
6 anos dessa música e continua no top 1 do mundo... uma loucura.",,hace 19 horas
236,Who else is here in 2020 just to check the views?,133,hace 3 años
237,Gostei  dessa  música....,2,hace 6 días
238,"8,2 bilhões de visualizações estou assistindo em 04/08/2023 top top de mais ",14,hace 7 días
239,Awesome ,,hace 3 días
240,VERY NICE SONG,14,hace 10 días
241,I don't understand it..But really liked it ,1,hace 2 días
242,"Achinga, cuando apenas salio, solo habia comentarios en español xdd",169,hace 2 años
243,¿Por qué esta canción es tan adictiva? ,,hace 6 días
244,4 more years later this gonna be a decade old Damn. The feeling listening in 2017 was great.,1,hace 11 días
245,¡Acabo de descubrir que este video es el video con más me gusta en YouTube!,,hace 1 día
246,Quien sige escuchando esta joyita en este 2023 ,,hace 6 días
247,Nostalgia ,,hace 3 días
248,This video was posted 3 years ago yet basically a comment comes in every minute.,413,hace 3 años
249,Personne peux démodé cette musique ,1,hace 8 días
250,Despacitoooooo eu to viciaaaaadoooooo,6,hace 7 días
251,Más música como esta,,hace 3 días
252,Hit jam,,hace 10 días
253,I can’t speak Spanish but this song I love it ,1,hace 1 día
254,soy ese comentario en español que estabas buscando,376,hace 3 años
255,daddy yankee always hits,1,hace 7 días
256,"NOPE...you are not alone watching this masterpiece in August 2023..

TO BE HONEST I NEVER GET TIRED OF LISTENING THIS MASTERPIECE.",,hace 9 días
257,,1,hace 1 día
258,Jest to bardzo dobry stan teledysku️️,1,hace 7 días (editado)
259,Por aquí haciendo mi revisada anual a ver cuantas reproducciones lleva ,1,hace 3 días
260,Year 2024: Has 9.3 billion views!                                  Google: TF,300,hace 3 años
261,"Я из России всем привет музыка кайф, слушал 3 года назад и шас тож слушаю",,hace 9 días
262,I will never stop listening to this song,3,hace 11 días
263,"I was the 700k viwer after this Masterpiece reliesed, i never thought this is going to blow up like this🥹",2,hace 1 día (editado)
264,Antes en 2017 la gente venía a escuchar la canción y ahora en 2023 la gente viene a ver las visitas ,7,hace 8 días
265,️‍,3,hace 2 días
