,Brand,Name of the product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
113,Blueberry,"Blueberry, VIP 341, 34 Inch Sapele Natural Wood Finsh Acoustic Guitar Kit With Bag, Belt, String Sets And 2 Picks","3,290",7 days Replacement,"Saturday, 12 August",Only 2 left in stock,https://www.amazon.in/Blueberry-VIP-341-Natural-Acoustic/dp/B0BVVJ8VG5/ref=sr_1_102?keywords=guitar&qid=1691287313&sr=8-102
114,Epiphone,"Epiphone SG Muse 6 String Right Handed Electric Guitar, Inspired by Gibson Series, Smoked Almond Metallic","44,484",7 days Replacement,"Friday, 11 August",In stock,https://www.amazon.in/Epiphone-String-Electric-Inspired-Metallic/dp/B08BGCW2GB/ref=sr_1_103?keywords=guitar&qid=1691287313&sr=8-103
115,YAMAHA,YAMAHA FS80C BLACK CONCERT CUTAWAY GUITAR,"8,990",7 days Replacement,"Saturday, 12 August",In stock,https://www.amazon.in/YAMAHA-FS80C-CONCERT-CUTAWAY-GUITAR/dp/B08WBBVMVJ/ref=sr_1_104?keywords=guitar&qid=1691287313&sr=8-104
116,Blueberry,"Blueberry, VIP-301, 30Inch Acoustic Guitar Kit With Bag, Belt, String Sets And 2 Picks Natural","3,290",7 days Replacement,"Saturday, 12 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjI1MTkyODU2NTcxNzcyOjE2OTEyODczMTM6c3BfYnRmOjIwMTI3OTkwMDI4OTk4OjowOjo&url=%2FBlueberry-VIP-301-30Inch-Acoustic-Natural%2Fdp%2FB0BVVFNXMD%2Fref%3Dsr_1_105_sspa%3Fkeywords%3Dguitar%26qid%3D1691287313%26sr%3D8-105-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
117,MUSTANG,Mustang 46 PCS Guitar Strings Changing Kit Guitar Tool Kit Including Guitar Strings Guitar Tuner Picks Capo Pins Guitar String Cutter and Winder for Beginner,895,7 days Replacement,"Saturday, 19 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjI1MTkyODU2NTcxNzcyOjE2OTEyODczMTM6c3BfYnRmOjIwMDU3ODE3MzY4ODk4OjowOjo&url=%2FMustang-Strings-Changing-Including-Beginner%2Fdp%2FB07S19LGLR%2Fref%3Dsr_1_106_sspa%3Fkeywords%3Dguitar%26qid%3D1691287313%26sr%3D8-106-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
118,Blueberry,"Blueberry, VIP-361, 36Inch Acoustic Guitar Kit With Bag, Belt, String Set And 2 Picks Natural","3,290",7 days Replacement,"Saturday, 12 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjI1MTkyODU2NTcxNzcyOjE2OTEyODczMTM6c3BfYnRmOjIwMTI3OTkwMDI4ODk4OjowOjo&url=%2FBlueberry-VIP-361-36Inch-Acoustic-Natural%2Fdp%2FB0BVVKLLJN%2Fref%3Dsr_1_107_sspa%3Fkeywords%3Dguitar%26qid%3D1691287313%26sr%3D8-107-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
119,Blueberry,"Blueberry, VIP-400, 40Inch TrussRod Acoustic Guitar With 1 Bag, 1 Belt, 1 String Set And 2 Picks","4,590",7 days Replacement,"Saturday, 12 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjI1MTkyODU2NTcxNzcyOjE2OTEyODczMTM6c3BfYnRmOjIwMTI3OTkwMDI4Mzk4OjowOjo&url=%2FBlueberry-VIP-400-40Inch-TrussRod-Acoustic%2Fdp%2FB0BVYY6ND2%2Fref%3Dsr_1_108_sspa%3Fkeywords%3Dguitar%26qid%3D1691287313%26sr%3D8-108-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
120,Blueberry,"Blueberry B40L, 40"" Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Classic Maroon)","4,290",7 days Replacement,"Saturday, 12 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzk0OTkxMjMxMDg1Nzk1OjE2OTEyODczMjQ6c3BfYXRmX25leHQ6MjAwNzgzMzY4ODUxOTg6OjA6Og&url=%2FBlueberry-Acoustic-Inbuilt-Strings-Classic%2Fdp%2FB09VLF8B8G%2Fref%3Dsr_1_97_sspa%3Fkeywords%3Dguitar%26qid%3D1691287324%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
121,VAULT,Vault DA40 41 Inch Premium Solid Spruce-Top Dreadnought Acoustic Guitar With Allen Key Natural,"6,934",7 days Replacement,"Tuesday, 8 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzk0OTkxMjMxMDg1Nzk1OjE2OTEyODczMjQ6c3BfYXRmX25leHQ6MjAwOTI2MjQwMjE0OTg6OjA6Og&url=%2FPremium-Spruce-Top-Dreadnought-Acoustic-Guitar%2Fdp%2FB0BJK1CWSN%2Fref%3Dsr_1_98_sspa%3Fkeywords%3Dguitar%26qid%3D1691287324%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
122,Blueberry,"Blueberry B-40, 40 Inch Acoustic Guitar Kit with Bag, Belt, One Pack Strings & Picks (Black)","4,290",7 days Replacement,"Saturday, 12 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzk0OTkxMjMxMDg1Nzk1OjE2OTEyODczMjQ6c3BfYXRmX25leHQ6MjAwNzgzMzY4ODkwOTg6OjA6Og&url=%2FBlueberry-Acoustic-Guitar-Strings-Picks%2Fdp%2FB08L7NQB57%2Fref%3Dsr_1_99_sspa%3Fkeywords%3Dguitar%26qid%3D1691287324%26sr%3D8-99-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
