,Dataset name,Data type,Task,Attribute type,No of instances,No of attribute,Date Donated,Year
0,Iris,Multivariate,Classification,Real,150,4,6/30/1988,1988
1,Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,13,6/30/1988,1988
2,Adult,Multivariate,Classification,"Categorical, Integer",84K,14,4/30/1996,1996
3,Dry Bean Dataset,Multivariate,Classification,"Integer, Real",61K,16,9/13/2020,2020
4,Diabetes,,,"Categorical, Integer",-,20,N/A,-
5,Wine,Multivariate,Classification,"Integer, Real",178,13,6/30/1991,1991
6,Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,30,10/31/1995,1995
7,Car Evaluation,Multivariate,Classification,Categorical,73K,6,5/31/1997,1997
8,Rice (Cammeo and Osmancik),Multivariate,Classification,Real,81K,8,10/5/2019,2019
9,Mushroom,Multivariate,Classification,Categorical,12K,22,4/26/1987,1987
10,Abalone,Multivariate,Classification,"Categorical, Integer, Real",18K,8,11/30/1995,1995
11,Breast Cancer,Multivariate,Classification,Categorical,286,9,7/10/1988,1988
12,Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1K,20,11/16/1994,1994
13,Wine Quality,Multivariate,"Classification, Regression",Real,9K,12,10/6/2009,2009
14,Glass Identification,Multivariate,Classification,Real,214,9,8/31/1987,1987
15,Census Income,Multivariate,Classification,"Categorical, Integer",84K,14,4/30/1996,1996
16,Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,9,7/14/1992,1992
17,Auto MPG,Multivariate,Regression,"Real, Categorical, Integer",398,7,7/6/1993,1993
18,Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,25,5/18/1987,1987
19,Bank Marketing,Multivariate,Classification,"Categorical, Integer",21K,17,2/13/2012,2012
20,Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",2K,5,12/31/1986,1986
21,Spambase,Multivariate,Classification,"Integer, Real",6K,57,6/30/1999,1999
22,Predict students' dropout and academic success,Tabular,Classification,N/A,42K,36,12/12/2021,2021
23,Optical Recognition of Handwritten Digits,Multivariate,Classification,Integer,62K,64,6/30/1998,1998
24,Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15,N/A,-
0,Zoo,Multivariate,Classification,"Categorical, Integer",101,16,5/14/1990,1990
1,Liver Disorders,,,"Categorical, Integer, Real",345,5,5/14/1990,1990
2,Student Performance,Multivariate,"Classification, Regression",Integer,649,33,11/26/2014,2014
3,Lung Cancer,Multivariate,Classification,Integer,32,56,4/30/1992,1992
4,Ionosphere,Multivariate,Classification,"Integer, Real",351,34,12/31/1988,1988
5,Letter Recognition,Multivariate,Classification,Integer,20K,16,12/31/1990,1990
6,Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",28K,-,6/30/1998,1998
7,Online Retail II,"Multivariate, Sequential, Time-Series, Text","Classification, Regression, Clustering","Integer, Real",07M,8,9/20/2019,2019
8,Pen-Based Recognition of Handwritten Digits,Multivariate,Classification,Integer,99K,16,6/30/1998,1998
9,Congressional Voting Records,Multivariate,Classification,Categorical,435,16,4/26/1987,1987
10,Covertype,Multivariate,Classification,"Categorical, Integer",01K,54,7/31/1998,1998
11,Online Retail,"Multivariate, Sequential, Time-Series","Classification, Clustering","Integer, Real",91K,8,11/5/2015,2015
12,Image Segmentation,Multivariate,Classification,Real,31K,19,10/31/1990,1990
13,Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19,10/31/1988,1988
14,Yeast,Multivariate,Classification,Real,48K,8,8/31/1996,1996
15,Computer Hardware,Multivariate,Regression,Integer,209,9,9/30/1987,1987
16,Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958,9,8/18/1991,1991
17,default of credit card clients,Multivariate,Classification,"Integer, Real",30K,24,1/25/2016,2016
18,"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60,N/A,-
19,Nursery,Multivariate,Classification,Categorical,96K,8,5/31/1997,1997
20,Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690,14,N/A,-
21,Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,58K,5,9/25/1997,1997
22,Breast Cancer Wisconsin (Prognostic),Multivariate,"Classification, Regression",Real,198,34,11/30/1995,1995
23,Soybean (Large),Multivariate,Classification,Categorical,307,35,7/10/1988,1988
24,Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279,12/31/1997,1997
0,Air Quality,"Multivariate, Time-Series",Regression,Real,36K,15,3/22/2016,2016
1,Online Shoppers Purchasing Intention Dataset,Multivariate,"Classification, Clustering","Integer, Real",33K,18,8/30/2018,2018
2,Balance Scale,Multivariate,Classification,Categorical,625,4,4/21/1994,1994
3,Statlog Project,,,N/A,-,-,9/30/1992,1992
4,EEG Database,,,"Categorical, Integer, Real",122,4,10/12/1999,1999
5,Statlog (Landsat Satellite),Multivariate,Classification,Integer,44K,36,2/12/1993,1993
6,Statlog (Shuttle),Multivariate,Classification,Integer,58K,8,N/A,-
7,Soybean (Small),Multivariate,Classification,Categorical,47,35,12/31/1986,1986
8,Statlog (Heart),Multivariate,Classification,"Categorical, Real",270,13,N/A,-
9,Human Activity Recognition Using Smartphones,"Multivariate, Time-Series","Classification, Clustering",,3K,561,12/9/2012,2012
10,ISOLET,Multivariate,Classification,Real,8K,617,9/11/1994,1994
11,Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,106,58,6/29/1990,1990
12,Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946,18,N/A,-
13,Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5K,21,11/9/1988,1988
14,Ecoli,Multivariate,Classification,Real,336,8,8/31/1996,1996
15,Dermatology,Multivariate,Classification,"Categorical, Integer",366,33,12/31/1997,1997
16,Insurance Company Benchmark (COIL 2000),Multivariate,"Regression, Description","Categorical, Integer",9K,86,7/2/2000,2000
17,Individual household electric power consumption,"Multivariate, Time-Series","Regression, Clustering",Real,08M,9,8/29/2012,2012
18,Protein Data,,,N/A,-,-,N/A,-
19,Anonymous Microsoft Web Data,null,Recommender-Systems,Categorical,71K,294,10/31/1998,1998
20,MONK's Problems,Multivariate,Classification,Categorical,432,6,9/30/1992,1992
21,Molecular Biology (Splice-junction Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,19K,61,12/31/1991,1991
22,Solar Flare,Multivariate,Regression,Categorical,39K,10,2/28/1989,1989
23,Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",47K,9,7/6/1997,1997
24,Estimation of obesity levels based on eating habits and physical condition,Multivariate,"Classification, Regression, Clustering",Integer,11K,17,8/26/2019,2019
0,Movie,,,N/A,10K,-,7/6/1999,1999
1,Musk (Version 1),Multivariate,Classification,Integer,476,168,9/11/1994,1994
2,Flags,Multivariate,Classification,"Categorical, Integer",194,30,5/14/1990,1990
3,Lenses,Multivariate,Classification,Categorical,24,4,7/31/1990,1990
4,CMU Face Images,Image,Classification,Integer,640,-,6/23/1999,1999
5,Bike Sharing Dataset,Univariate,Regression,"Integer, Real",39K,16,12/19/2013,2013
6,Haberman's Survival,Multivariate,Classification,Integer,306,3,3/3/1999,1999
7,Servo,Multivariate,Regression,"Categorical, Integer",167,4,4/30/1993,1993
8,MAGIC Gamma Telescope,Multivariate,Classification,Real,02K,11,4/30/2007,2007
9,SMS Spam Collection,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,57K,-,6/21/2012,2012
10,KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4M,42,12/31/1998,1998
11,Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27,8/5/1989,1989
12,SPECT Heart,Multivariate,Classification,Categorical,267,22,9/30/2001,2001
13,Forest Fires,Multivariate,Regression,Real,517,13,2/28/2008,2008
14,Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,2K,36,7/31/1989,1989
15,Diabetes 130-US hospitals for years 1999-2008,Multivariate,"Classification, Clustering","Categorical, Integer",77K,47,5/2/2014,2014
16,Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",29K,40,3/6/2000,2000
17,Primary Tumor,Multivariate,Classification,Categorical,339,17,10/31/1988,1988
18,Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132,12,2/27/1989,1989
19,US Census Data (1990),Multivariate,Clustering,Categorical,46M,68,N/A,-
20,Multiple Features,Multivariate,Classification,"Integer, Real",2K,649,N/A,-
21,Heart failure clinical records,Multivariate,"Classification, Regression, Clustering","Integer, Real",299,13,2/4/2020,2020
22,Annealing,Multivariate,Classification,"Categorical, Integer, Real",798,38,N/A,-
23,Balloons,Multivariate,Classification,Categorical,16,4,N/A,-
24,Bach Chorales,,,"Categorical, Integer",100,6,N/A,-
0,Apartment for rent classified,Multivariate,"Classification, Regression, Clustering",N/A,10K,22,12/25/2019,2019
1,NASA Flood Extent Detection,Image,Other,,50K,-,1/6/2023,2023
2,Lymphography,Multivariate,Classification,Categorical,148,18,10/31/1988,1988
3,Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",06K,6,5/31/1994,1994
4,Challenger USA Space Shuttle O-Ring,Multivariate,Regression,Integer,23,4,8/4/1993,1993
5,Japanese Credit Screening,"Multivariate, Domain-Theory",Classification,"Categorical, Real, Integer",125,-,3/18/1992,1992
6,Cloud,,,Real,02K,10,8/2/1989,1989
7,Labor Relations,,,"Categorical, Integer, Real",57,16,10/31/1988,1988
8,Real estate valuation data set,Multivariate,Regression,"Integer, Real",414,7,8/17/2018,2018
