,Dataset name,Data type,Task,Attribute type,No of instances,No of attribute,Date Donated,Year
23,Cervical Cancer Behavior Risk,"Multivariate, Univariate","Classification, Clustering",Integer,72,19,7/16/2019,2019
24,Wikipedia Math Essentials,Time-Series,Regression,Real,731,-,4/19/2021,2021
0,Facebook Comment Volume Dataset,Multivariate,Regression,"Integer, Real",95K,54,3/10/2016,2016
1,Perfume Data,"Univariate, Domain-Theory","Classification, Clustering",Integer,560,2,7/21/2014,2014
2,Rice Leaf Diseases,Multivariate,Classification,Integer,120,-,4/13/2019,2019
3,Mice Protein Expression,Multivariate,"Classification, Clustering",Real,08K,82,8/3/2015,2015
4,Paper Reviews,Text,"Classification, Regression",Integer,405,10,10/22/2017,2017
5,Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series",Classification,Real,93K,561,7/28/2015,2015
6,Hepatitis C Virus (HCV) for Egyptian patients,Multivariate,Classification,Real,39K,28,9/29/2019,2019
7,Bone marrow transplant: children,Multivariate,"Classification, Regression","Integer, Real",187,39,4/20/2020,2020
8,Skin Segmentation,Univariate,Classification,Real,06K,4,7/16/2012,2012
9,Incident management process enriched event log,"Multivariate, Sequential","Regression, Clustering",Integer,71K,36,7/13/2019,2019
10,Open University Learning Analytics dataset,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,-,-,12/20/2015,2015
11,Unmanned Aerial Vehicle (UAV) Intrusion Detection,Multivariate,Classification,Real,26K,55,4/11/2020,2020
12,SECOM,Multivariate,"Classification, Causal-Discovery",Real,57K,591,11/18/2008,2008
13,Codon usage,Multivariate,"Classification, Clustering",N/A,03K,69,10/2/2020,2020
14,Dataset based on UWB for Clinical Establishments,Tabular,Other,Real,608,8,11/21/2022,2022
15,Communities and Crime Unnormalized,Multivariate,Regression,Real,22K,147,3/1/2011,2011
16,Las Vegas Strip,null,"Classification, Regression",Integer,504,20,7/22/2017,2017
17,Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory",Classification,Real,5K,-,6/10/2011,2011
18,Diabetic Retinopathy Debrecen,Multivariate,Classification,"Integer, Real",15K,19,11/2/2014,2014
19,Water Treatment Plant,Multivariate,Clustering,"Integer, Real",527,38,5/31/1993,1993
20,WISDM Smartphone and Smartwatch Activity and Biometrics Dataset,"Multivariate, Time-Series",Classification,Real,63M,6,10/5/2019,2019
21,OPPORTUNITY Activity Recognition,"Multivariate, Time-Series",Classification,Real,55K,242,6/8/2012,2012
22,Audit Data,Multivariate,Classification,Real,777,18,7/13/2018,2018
23,EMG data for gestures,Time-Series,Classification,Real,30K,6,1/6/2019,2019
24,Parking Birmingham,"Multivariate, Univariate, Sequential, Time-Series","Classification, Regression, Clustering",Real,72K,4,1/1/2019,2019
0,Condition Based Maintenance of Naval Propulsion Plants,Multivariate,Regression,Real,93K,16,9/10/2014,2014
1,Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,Multivariate,"Classification, Regression, Clustering",Integer,77,7,7/19/2017,2017
2,CNNpred: CNN-based stock market prediction using a diverse set of variables,"Sequential, Time-Series","Classification, Regression",Real,99K,84,12/25/2019,2019
3,Sports articles for objectivity analysis,"Multivariate, Text",Classification,Integer,1K,59,4/8/2018,2018
4,Concrete Slump Test,Multivariate,Regression,Real,103,10,4/29/2009,2009
5,User Knowledge Modeling,Multivariate,"Classification, Clustering",Integer,403,5,6/25/2013,2013
6,Autistic Spectrum Disorder Screening Data for Children,Multivariate,Classification,Integer,292,21,12/23/2017,2017
7,Gas sensor array under dynamic gas mixtures,"Multivariate, Time-Series","Classification, Regression",Real,18M,19,3/19/2015,2015
8,Othello Domain Theory,,,N/A,-,-,1/31/1991,1991
9,Cargo 2000 Freight Tracking and Tracing,"Multivariate, Sequential","Classification, Regression",Integer,94K,98,11/2/2016,2016
10,Airfoil Self-Noise,Multivariate,Regression,Real,5K,6,3/3/2014,2014
11,QSAR fish toxicity,Multivariate,Regression,Real,908,7,9/22/2019,2019
12,NIPS Conference Papers 1987-2015,Text,Clustering,Integer,46K,-,11/22/2016,2016
13,Turkiye Student Evaluation,Multivariate,"Classification, Clustering",,82K,33,8/31/2013,2013
14,Steel Plates Faults,Multivariate,Classification,"Integer, Real",94K,27,10/25/2010,2010
15,Behavior of the urban traffic of the city of Sao Paulo in Brazil,"Multivariate, Time-Series","Classification, Regression","Integer, Real",135,18,12/11/2018,2018
16,LT-FS-ID: Intrusion detection in WSNs,Tabular,Regression,N/A,182,4,3/8/2022,2022
17,Similarity Prediction,"Tabular, Image",Classification,N/A,200,-,10/27/2022,2022
18,Internet Firewall Data,Multivariate,Classification,N/A,53K,12,2/3/2019,2019
19,Yacht Hydrodynamics,Multivariate,Regression,Real,308,7,1/2/2013,2013
20,Early biomarkers of Parkinson’s disease based on natural connected speech,Multivariate,"Classification, Regression","Integer, Real",130,65,2/14/2017,2017
21,YouTube Multiview Video Games Dataset,"Multivariate, Text","Classification, Clustering","Integer, Real",120K,-,10/15/2013,2013
22,Twenty Newsgroups,,,N/A,20K,-,9/8/1999,1999
23,Leaf,Multivariate,Classification,Real,340,16,2/23/2014,2014
24,Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,"Sequential, Time-Series",Classification,Real,08K,-,6/5/2015,2015
0,HTRU2,Multivariate,"Classification, Clustering",Real,9K,9,2/13/2017,2017
1,Air quality,"Multivariate, Time-Series",Regression,Real,36K,15,7/21/2016,2016
2,Buzz in social media,"Time-Series, Multivariate","Regression, Classification","Integer, Real",140K,77,5/26/2013,2013
3,PPG-DaLiA,"Multivariate, Time-Series",Regression,Real,3M,11,7/29/2019,2019
4,Greenhouse Gas Observing Network,"Multivariate, Time-Series",Regression,Real,92K,-,4/15/2015,2015
5,EEG Steady-State Visual Evoked Potential Signals,"Multivariate, Time-Series","Classification, Regression",Integer,2K,16,7/12/2018,2018
